Type,AccountID,ConID,SecurityID,Symbol,BBTicker,BBGlobalID,SecurityDescription,AssetType,Currency,BaseCurrency,Quantity,QuantityInBase,CostPrice,CostBasis,CostBasisInBase,MarketPrice,MarketValue,MarketValueInBase,OpenDateTime,FxRateToBase,ReportDate,SettledQuantity,SettledQuantityInBase,MasterAccountID,Van,AccruedInt,OriginatingOrderID,Multiplier,
D,U5457404,756733,US78462F1030,SPY,SPY,BBG000BDTBL9,SPDR S&P 500 ETF TRUST,STK,USD,USD,75,0,391.08,29331,29331,396.24,29718,29718,,1,20221208,0,0,F6017651,U5457404,0,,1,
D,U5457404,15547841,US4642874329,TLT,TLT,BBG000BJKYW3,ISHARES 20+ YEAR TREASURY BO,STK,USD,USD,4,0,99.38199125,397.527965,397.527965,109.17,436.68,436.68,,1,20221208,0,0,F6017651,U5457404,0,,1,
D,U5457404,13116,US9022521051,TYL,TYL,BBG000BVWZF9,TYLER TECHNOLOGIES INC,STK,USD,USD,1,0,378.86,378.86,378.86,318.44,318.44,318.44,,1,20221208,0,0,F6017651,U5457404,0,,1,
D,U5457404,13497,US91913Y1001,VLO,VLO,BBG000BBGGQ1,VALERO ENERGY CORP,STK,USD,USD,1,0,109.484715,109.484715,109.484715,116.9,116.9,116.9,,1,20221208,0,0,F6017651,U5457404,0,,1,
D,U5457404,337722877,US92511U1025,VRRM,VRRM,BBG00G4XQ9Z1,VERRA MOBILITY CORP,STK,USD,USD,45,0,14.536,654.12,654.12,14.52,653.4,653.4,,1,20221208,0,0,F6017651,U5457404,0,,1,
D,U5457404,,,,,,,CASH,USD,USD,34393.76560621,34393.76560621,0,0,0,0,0,0,,1,20221208,35245.07560621,35245.07560621,F6017651,U5457404,0,,1,
D,U5457404,,,,,,,INTACC,USD,USD,16.39,16.39,0,0,0,0,0,0,,1,20221208,0,0,F6017651,U5457404,0,,1,
D,U5457404,,,,,,,DIVACC,USD,USD,2.5,2.5,0,0,0,0,0,0,,1,20221208,0,0,F6017651,U5457404,0,,1,
D,U5457571,4725941,US00760J1088,AEHR,AEHR,BBG000BWM083,AEHR TEST SYSTEMS,STK,USD,USD,6,0,24.942465,149.65479,149.65479,25.59,153.54,153.54,,1,20221208,0,0,F6017651,U5457571,0,,1,
D,U5457571,3691937,US0231351067,AMZN,AMZN,BBG000BVPV84,AMAZON.COM INC,STK,USD,USD,13,0,98.47267331,1280.144753,1280.144753,90.35,1174.55,1174.55,,1,20221208,0,0,F6017651,U5457571,0,,1,
